pl_name,hostname,tran_flag,pl_radj,pl_radjerr1,pl_radjerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,st_mass,st_masserr1,st_masserr2,st_met,st_meterr1,st_meterr2,st_teff,st_rad,pl_dens
HATS-71 b,HATS-71,1.0,1.024,0.018,-0.018,3.7955202,1e-06,-1e-06,586.8,2.3,-2.3,18.0832,,,0.37,0.24,-0.24,0.4861,0.006,-0.006,0.17,0.036,-0.036,3405.0,0.4783,0.42
HATS-74 A b,HATS-74 A,1.0,1.032,0.021,-0.021,1.73185606,5.5e-07,-5.5e-07,895.1,5.7,-5.7,106.9,2.709,-2.709,1.46,0.14,-0.14,0.601,0.008,-0.008,0.514,0.033,-0.021,3776.9,0.5758,1.64
HATS-75 b,HATS-75,1.0,0.884,0.013,-0.013,2.7886556,1.1e-06,-1.1e-06,772.3,2.3,-2.3,59.26,0.6959,-0.6959,0.491,0.039,-0.039,0.6017,0.0074,-0.0055,0.522,0.051,-0.028,3790.4,0.5848,0.878
HATS-76 b,HATS-76,1.0,1.079,0.031,-0.031,1.9416423,1.4e-06,-1.4e-06,939.8,6.7,-6.7,129.8,3.585,-3.585,2.629,0.089,-0.089,0.662,0.016,-0.021,0.322,0.065,-0.049,4016.0,0.6259,2.58
HATS-77 b,HATS-77,1.0,1.165,0.021,-0.021,3.0876262,1.6e-06,-1.6e-06,828.3,5.9,-5.9,78.37,2.165,-2.165,1.374,0.1,-0.074,0.655,0.014,-0.014,0.253,0.039,-0.039,4071.0,0.6428,1.077
HATS-9 b,HATS-9,1.0,1.23561424,0.03122491,-0.03122491,1.915291,1.9e-05,-1.8e-05,1746.0,36.0,-36.0,2292.0839,,,0.837,0.029,-0.029,1.1,0.05,-0.05,0.38,0.05,-0.05,5599.0,1.56,0.626
HD 118203 b,HD 118203,1.0,1.14,0.029,-0.029,6.1349779,2e-06,-2e-06,1361.0,23.0,-22.0,593.4,8.2,-8.2,2.14,0.12,-0.12,1.27,0.028,-0.032,0.287,0.069,-0.111,5742.0,2.04,1.79
HD 149026 b,HD 149026,1.0,0.74,0.02,-0.02,2.87589,2e-06,-2e-06,1626.0,69.0,-37.0,1095.91,,,0.38,0.06,-0.06,1.42,0.33,-0.33,0.32,,,6179.0,1.41,0.75
HD 189733 b,HD 189733,1.0,1.13,0.01,-0.01,2.21857567,1.5e-07,-1.5e-07,1209.0,11.0,-11.0,356.0,13.0,-12.0,1.13,0.08,-0.08,0.79,0.08,-0.08,-0.02,,,5052.0,0.75,0.943
HD 202772 A b,HD 202772 A,1.0,1.545,0.052,-0.06,3.308958,8.3e-05,-8.3e-05,2132.0,28.0,-30.0,3440.0,184.0,-191.0,1.017,0.07,-0.068,1.72,0.064,-0.066,0.3,0.06,-0.06,6272.0,2.591,0.343
HD 209458 b,HD 209458,1.0,1.39,0.02,-0.02,3.52474859,3.8e-07,-3.8e-07,1459.0,12.0,-12.0,587.098,,,0.73,0.04,-0.04,1.23,0.09,-0.09,0.01,,,6091.0,1.19,0.362
HD 2685 b,HD 2685,1.0,1.44,0.05,-0.05,4.12688,5e-05,-4e-05,2061.0,28.0,-28.0,1436.49,,,1.17,0.12,-0.12,1.43,0.05,-0.04,0.02,0.06,-0.06,6801.0,1.56,0.486
HIP 65 A b,HIP 65 A,1.0,2.03,0.61,-0.49,0.9809734,3.1e-06,-3.1e-06,1411.0,15.0,-15.0,661.0,28.0,-29.0,3.213,0.078,-0.078,0.781,0.027,-0.027,0.18,0.08,-0.08,4590.0,0.7242,0.48
HIP 94235 b,HIP 94235,1.0,0.26764253,0.02854854,-0.02497997,7.713057,2.1e-05,-2.1e-05,1060.0,50.0,-50.0,219.2841,,,1.19246736,,,1.094,0.024,-0.007,0.0,,,5991.0,1.08,
K2-113 b,K2-113,1.0,1.08305826,0.03122491,-0.03122491,5.817685,4.1e-05,-4.1e-05,1098.0,23.0,-23.0,277.39,,,1.29,0.13,-0.14,1.04,0.04,-0.04,0.27,0.06,-0.06,5660.0,1.24,1.97
