relationship,pearson_r,pearson_p
radius vs log10(flux),0.5810334996267729,3.048602294152421e-51
radius vs stellar mass,0.5233925602766645,3.2229001681545096e-40
radius vs metallicity,-0.15521242583324274,0.00024836856703145825
